address_key,address_line1,city,state,postal_code,country_name,matched_address,match_indicator,match_type,longitude,latitude,tiger_line_id,tiger_line_side,census_state_fips,census_county_fips,census_tract,census_block,geocoded_date,source
6150 OXON HILL ROAD|OXON HILL|MD|20745.0|USA,6150 Oxon Hill Road,Oxon Hill,MD,20745.0,USA,"6150 Oxon Hill Rd, Oxon Hill, MD 20745, USA",Match,ROOFTOP,-76.9785383,38.8042383,,,,,,,2026-03-16,google_geocoding_api
133 BROOKE FOREST COURT LOT 7|ALPHARETTA|GA|30022.0|USA,133 Brooke Forest Court Lot 7,Alpharetta,GA,30022.0,USA,"Brooke Forest Ct, Alpharetta, GA 30022, USA",Match,GEOMETRIC_CENTER,-84.2431433,34.0573005,,,,,,,2026-03-16,google_geocoding_api
1 ACUITY WAY|DECATUR|GA|30035.0|USA,1 Acuity Way,Decatur,GA,30035.0,USA,"1 Acuity Way, Decatur, GA 30035, USA",Match,ROOFTOP,-84.1831806,33.7072245,,,,,,,2026-03-16,google_geocoding_api
8007 E LOFTWOOD LN|ORANGE|CA|92867.0|USA,8007 E Loftwood Ln,Orange,CA,92867.0,USA,"8007 E Loftwood Ln, Orange, CA 92867, USA",Match,ROOFTOP,-117.7674339,33.8288357,,,,,,,2026-03-16,google_geocoding_api
1931 KAYCEE CIRCLE LOT 14 BLOCK E|MIDLOTHIAN|TX|76065.0|USA,1931 Kaycee Circle Lot 14 Block E,Midlothian,TX,76065.0,USA,"1931 Kaycee Cir lot 14 block e, Midlothian, TX 76065, USA",Match,ROOFTOP,-96.9368972,32.5049071,,,,,,,2026-03-16,google_geocoding_api
7481 COUNTY ROAD 1230|GODLEY|TX|76044.0|USA,7481 County Road 1230,Godley,TX,76044.0,USA,"7481 County Rd 1230, Godley, TX 76044, USA",Match,ROOFTOP,-97.5312578,32.4136904,,,,,,,2026-03-16,google_geocoding_api
3501 WOODLAND HILLS|FLOWER MOUND|TX|75022.0|USA,3501 Woodland Hills,FLOWER MOUND,TX,75022.0,USA,"3501 Woodland Hills, Flower Mound, TX 75022, USA",Match,ROOFTOP,-97.1553425,33.0347531,,,,,,,2026-03-16,google_geocoding_api
6490 TRADING SQUARE|HAYMARKET|VA|20169.0|USA,6490 Trading Square,Haymarket,VA,20169.0,USA,"6490 Trading Sq, Haymarket, VA 20169, USA",Match,ROOFTOP,-77.6435001,38.8179099,,,,,,,2026-03-16,google_geocoding_api
4160 WEST BOY SCOUT BOULEVARD|TAMPA|FL|33607.0|USA,4160 West Boy Scout Boulevard,TAMPA,FL,33607.0,USA,"4160 W Boy Scout Blvd, Tampa, FL 33607, USA",Match,ROOFTOP,-82.514105,27.96383,,,,,,,2026-03-16,google_geocoding_api
14553 FLOSSIE STREET|CELINA|TX|75009.0|USA,14553 Flossie Street,Celina,TX,75009.0,USA,"14553 Flossie St, Celina, TX 75009, USA",Match,ROOFTOP,-96.8754016,33.2904393,,,,,,,2026-03-16,google_geocoding_api
5390 E SAN JUAN DR|ORANGE|CA|92869.0|USA,5390 E San Juan Dr,ORANGE,CA,92869.0,USA,"5390 E San Juan Dr, Orange, CA 92869, USA",Match,RANGE_INTERPOLATED,-117.7948383,33.8097044,,,,,,,2026-03-16,google_geocoding_api
39 PELHAM RIDGE DRIVE|MARIETTA|GA|30066.0|USA,39 Pelham Ridge Drive,Marietta,GA,30066.0,USA,"Chastain Ridge Dr, Georgia 30066, USA",Match,GEOMETRIC_CENTER,-84.5328451,34.0350853,,,,,,,2026-03-16,google_geocoding_api
260 CUMBERLAND ST. APT 27|BROOKLYN|NY|11217.0|USA,260 Cumberland St. Apt 27,Brooklyn,NY,11217.0,USA,"260 Cumberland St #27, Brooklyn, NY 11217, USA",Match,ROOFTOP,-73.9731298,40.6881621,,,,,,,2026-03-16,google_geocoding_api
11925 N STEMMONS FWY|DALLAS|TX|75247.0|USA,11925 N Stemmons Fwy,DALLAS,TX,75247.0,USA,"11925 N Stemmons Fwy, Dallas, TX 75247, USA",Match,RANGE_INTERPOLATED,-96.8749318,32.8380726,,,,,,,2026-03-16,google_geocoding_api
